Island,Address,Zip Code,Facility,Parking Lot,Charger Location,Station Availability (Hours),Number of Chargers,Number of Ports,Charger Level,Charge Fee,Manufacturer,Notes
Kauai,"2440 Hoonani Rd.
Koloa, Hawaii 96756
(21.876721358165014, -159.46220390785493)",96756,Hotel,Sheraton Kauai,Attached to the shack near the luau lawn,24/7,3,3,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Oahu,"2300 Kalakaua Ave
Honolulu, Hawaii 96815
(21.277871812074466, -157.8275152484166)",96815,Hotel,Holiday Inn Beachcomber,Valet,24/7,2,2,2,,AeroVironment,
Maui,"3700 Wailea Alanui Dr
Wailea, Hawaii 96753
(20.688015538311618, -156.43965069932614)",96753,Hotel,Marriot Wailea Beach,Valet recommended,24/7,2,2,2,,,"Valet recommended, self-parking needs FOB from front desk"
Maui,"2365 Ka&rsquo;anapali Parkway
Lahaina, Hawaii 96761
(20.92039999976032, -156.6749199996581)",96761,Hotel,Westin Kaanapali Resort and Spa,Ground level of parking lot,24/7,2,4,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Oahu,"609 Kailua Road
Kailua, Hawaii 96734
(21.394001265717975, -157.74199871665047)",96734,Commercial,Longs Drugs,Parking stall in front of entrance,8:00am-9:00pm,2,2,2,Free for up to 2 hours,Volta,
Oahu,"2500 Kuhio Ave
Honolulu, Hawaii 96815
(21.275389683273545, -157.82233515352786)",96815,Hotel,Hilton Waikiki Prince,Valet,24/7,2,2,2,Free,AeroVironment,
Oahu,"1600 Kapiolani Boulevard
Honolulu, Hawaii 96814
(21.29189224251121, -157.83970106191362)",96814,Commercial,The Pan Am Building,"2nd floor, up the ramp take 2 left turns","Mon-Fri 6:00am-10:00pm, Sat 7:00am-5:00pm, Sun closed",1,1,2,"1st 2 hours free, $5 every additional hour",ChargePro,"Use your smart phone to charge by credit card at the charger, instructions on the screen.  Call 1-800 number to sign up for a card"
Oahu,"300 Rodgers Boulevard
Honolulu, Hawaii 96819
(21.335604930654792, -157.91871398519555)",96819,Airport,Honolulu International Airport,"In regular public parking lot in between interisland and main parking structures, 1st floor",24/7,1,1,2,Flat $7/session,,
Oahu,"45-568 Kamehameha Hwy
Kaneohe, Hawaii 96744
(21.399453085430384, -157.79902564501552)",96744,Commercial,King Windward Nissan,,"7:00am-8:00pm, by appreservation",1,1,2,Free,AeroVironment,Leafs only
Oahu,"2500 Campus Rd &ndash; Arena Parking
Honolulu, Hawaii 95822
(38.51372000007808, -121.49462000001284)",95822,School,Univ of Hawaii Lower Campus Parking Garage,"On first floor, section F","5:00am-12:00am
UH Permit Holders
Access:
24/7
",4,4,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Kauai,"4444 Rice Street
Lihue, Hawaii 96766
(21.975084024169593, -159.3690108257757)",96766,Government,Lihue Civic Center-Piikoi Building,Adjacent to Kauai Museum ,24/7,3,3,2,"$2.00/hour, up to 4 hours",AeroVironment,
Oahu,"201 Beach Walk Street
Honolulu, Hawaii 96815
(21.278030000184515, -157.82469000024318)",96815,Hotel,Embassy Suites Waikiki,Valet,24/7,2,2,2,Free,AeroVironment,
Kauai,"3610 Rice Street
Lihue, Hawaii 96766
(21.964755991613174, -159.35414137281424)",96766,Hotel,Kauai Marriott Resort & Beach Club,"Charging station is located on the Kalapaki Cir. side of the hotel, near the Ha'upu Tower, handicap parking space",24/7,1,2,2,Free,AeroVironment,Charger is for exclusive guest use.  Car must be registered at front desk and they will provide a key to activate
Maui,"200 Nohea Kai Drive
Lahaina, Hawaii 96761
(20.916152072725744, -156.6945616692168)",96761,Hotel,Hyatt Regency Maui,"In Lahaina parking area, take a left turn towards back area, EV station will be directly on your right",24/7,1,2,2,"$3.50/hour, max of 4 hours",Pep,Pay with credit card at charger
Maui,"1345 Piilani Highway
Kihei, Hawaii 96753
(20.754255865531718, -156.44730352109272)",96753,Commercial,Elleair Golf Club,Visit the Pro Shop or restaurant & attendant will give you access. ,During Golfing hours: 6:30 am to 6:00 pm Mon-Sun and Restaurant hours:  8:00am to 10:00 pm. Closed after 10:00 pm.,1,1,2,$12 flat fee per session,AeroVironment,
Oahu,"46-003 Alaloa St.
Kaneohe, Hawaii 96744
(21.416506215332234, -157.80532318199687)",96744,Commercial,"Enterprise Rent-a-Car, Kaneohe",In front of the Enterprise office at the intersection of Kahuhipa St and Alaloa St.,"Mon-Fri 8:00am-6:00pm, Sat 9:00am-12:00pm
",3,3,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
